,0
0,35220.644469145576
1,31333.603803767965
2,36671.40702131864
3,3714.9920782969657
4,25725.308882812373
5,36296.6472395795
6,26864.51558189766
7,23335.61246544466
8,25589.030238883097
9,27345.415548810666
10,24132.374847202624
11,22212.27261695635
12,20676.49395294385
13,21466.655203616163
14,22003.83942612632
15,23171.0987101909
16,22386.48468612156
17,22916.993205945822
18,23403.441212757443
19,26370.401762495345
20,28400.133300050285
21,31213.694854660782
22,36839.4950900227
23,37395.49901750376
24,30936.035002237335
25,30480.973348597647
26,26208.336134576904
27,30457.25074978063
28,30018.959448029087
29,27844.583513979087
30,28103.172382410892
31,33027.272928907725
32,34598.37897074666
33,31402.825793908993
34,28917.65501683618
35,27231.04681988958
36,29720.91121313008
37,27415.84278251314
38,27877.618643009257
39,30117.742330861383
40,30474.335521569665
41,28647.50872585401
42,27988.810528691876
43,28680.058659876842
44,26626.350631541118
45,23515.09570029884
46,30101.334681949404
47,17620.709604969827
48,7145.177017216753
49,8472.590829304994
50,8514.488220722882
51,8316.487219341332
52,7935.122420007776
53,8231.56021291258
54,13239.630570167046
55,8937.206142225852
56,6254.008413036985
57,5014.774405229869
58,5487.128113654196
59,3415.7903849915524
60,3519.0575250841816
61,3408.2916326193786
62,1677.1604439623422
63,65.21138066285516
64,307.48491892633916
65,11862.000816301059
66,2754.811336425194
67,8307.29406883665
68,11646.920610522842
69,12483.000542188653
70,9696.114950124014
71,7069.111922514925
72,7016.0099036434
73,7448.472935311276
74,7300.902548331935
75,6929.66399974414
76,7512.995246632097
77,6123.451329695099
78,4825.917172154506
79,5209.302682491576
80,3366.5023569872174
81,3577.35230896224
82,4736.562451752771
83,3106.0481043072336
84,2608.89842543923
85,1526.8103847048417
86,1718.2861406036723
87,3481.0687518763434
88,5092.918769087732
89,5816.618022672908
90,7685.662466222989
91,7274.268577330798
92,8388.421437585384
93,6952.464875558881
94,6299.158725365026
95,3855.1177362241788
96,2808.6330665106975
97,192.49256275261678
98,6031.128335691296
99,5333.769474871662
100,5071.096343740986
101,5430.223431985573
102,5806.519759883772
103,4163.818636242984
104,2328.601514336302
105,4821.780415450324
106,6705.013558349769
107,5654.727608407758
108,5202.538141658356
109,5285.175558830257
110,5090.128704972807
111,4933.438661280532
112,5642.947280263392
113,4801.319649072275
114,5032.859388781098
115,5935.547312617175
116,6414.095431252621
117,6460.128905130028
118,6679.925987775094
119,7917.771758621117
120,6705.669684081423
121,8826.736306689874
122,7712.850599412752
123,6472.305100448891
124,5121.276027975777
125,5711.683391921223
126,7232.828997874237
127,5063.397715273353
128,1432.2211450527068
129,14969.836349241357
130,9180.706605686702
131,5319.185262167869
132,19225.736629663676
133,6523.525488663675
134,10098.534714786872
135,11086.8847711198
136,12121.140648326356
137,13293.306485639483
138,13209.446819450273
139,15114.97236917026
140,13695.532067360908
141,11688.918124444293
142,9438.662212095958
143,5929.279268823444
144,3098.8690525643524
145,2884.917324533509
146,2327.1468186561087
147,1354.0866651005467
148,1713.8348396049175
149,2175.906012899613
150,3007.0369693904604
151,2306.740766660611
152,3541.732913117704
153,1486.7064144085002
154,3789.9767472534054
155,3719.297778837062
156,7324.540479575486
157,7258.425447683822
158,7944.765744918246
159,8315.960813314596
160,7149.31456081805
161,4720.789947592297
162,391.7845841850687
163,8185.6406847421285
164,12734.567893685611
165,14014.631297392574
166,14774.311691894492
167,13573.665079352328
168,17041.949999981112
169,12553.081239520516
170,13931.327386591367
171,13501.039136043966
172,15411.725856638943
173,16092.666551575134
174,14419.492127724663
175,14196.715848785465
176,16623.44731445824
177,18228.19324898343
178,21939.094737564476
179,16981.54149450786
180,22038.985085189077
181,28424.742016005373
182,39669.77101681676
183,50906.78540815002
184,34782.75122853036
185,52623.02942018447
186,25805.164948840924
187,23222.678627024547
188,27847.640106232902
189,24713.704790807056
