idx,gld
0,1480.257346270627
1,1267.16809240085
2,741.2000654344916
3,1531.2015124463019
4,1122.0772952752168
5,680.018551863635
6,1944.776214291426
7,228.08519433936914
8,166.933084331234
9,358.12259359780586
10,542.0195207889428
11,887.8558083540523
12,221.65277476443697
13,2170.9007016037435
14,344.5750427856885
15,44.45055448795199
16,788.4370444914985
17,1243.234118453868
18,2631.7953049719235
19,1851.4334690378823
20,2519.790819706945
21,699.705326695443
22,2000.2896107697645
23,429.5951234585808
24,568.1139125764543
25,2007.8703606634408
26,4970.378437584774
27,4801.882061990255
28,2945.5065601205097
29,1101.2971950448275
30,1526.0838817861315
31,3925.194870950644
32,4772.583064930704
33,4911.609287580146
34,4200.545969715442
35,2576.8222499725257
36,4157.908711249012
37,4974.640040049573
38,4877.756396103161
39,4973.755199900419
40,3949.9031981763364
41,1755.5941126458752
42,4127.063521826532
43,4069.4609513915257
44,4953.689381239542
45,4998.656173638798
46,4987.048915649357
47,4999.364590989677
48,4884.594408111511
49,4109.396805654816
50,4999.539146350016
51,4976.860990904486
52,4944.382867019977
53,4997.259232148187
54,4821.267651098461
55,4289.979372346646
56,4640.714103126039
57,4014.756625029533
58,3068.3770506143064
59,1109.008327519063
60,3232.304852302978
61,4922.08877632261
62,4734.185580561506
63,4799.125809828397
64,4969.9733153654915
65,4955.408507635205
66,4575.292081307247
67,3888.2343645867472
68,3754.3565143006545
69,3685.590351055535
70,3373.8254751136697
71,2908.371998263566
72,3115.823169209329
73,2413.0022584735893
74,556.2887726824162
75,1747.499103552076
76,2399.604189975298
77,3282.6545787602126
78,4971.543707167017
79,4986.05462224234
80,4997.800511040556
81,4818.900882231449
82,4987.663375694097
83,4318.821291212962
84,3499.6445742423653
85,3897.444371553012
86,3161.2289466564994
87,3528.6709809145887
88,3659.9287049581276
89,3993.0821555916177
90,3716.110098333581
91,4249.793345394522
92,4979.389902907492
93,4227.169700593652
94,4978.960674143688
95,4995.662221585727
96,4485.681884226864
