,0
0,17346.944135707097
1,21030.98398324667
2,15901.666421613503
3,20233.615891988185
4,16077.903336770629
5,10299.641159848401
6,2805.293168609386
7,7246.559765437765
8,8250.387815515967
9,17179.618821360298
10,20033.881427434866
11,14955.145991577016
12,14899.510549095938
13,13090.130453056276
14,14877.276288736288
15,12445.412992481424
16,5350.582894331227
17,4616.763381658681
18,2502.8422141991805
19,2027.1181173041168
20,1672.1420953237182
21,550.6335229711308
22,459.6228404993707
23,14493.255120979678
24,32102.868496553376
25,47664.60439316625
26,80733.87961689691
27,59097.61451929565
28,99362.64474019552
29,98997.07180349002
30,99266.41958043544
31,99009.7258694414
32,99940.0796857302
33,99498.1816696819
34,99889.35567083678
35,97927.72709345678
36,89159.3505577113
37,97169.31169120407
38,99943.30638699443
39,99991.9862570722
40,99439.05454114554
41,87279.7726734842
42,51334.480713799334
43,43631.67481928835
44,13602.9464067397
45,21666.97735757121
46,14174.052665049949
47,18154.90287494956
48,20752.35766427777
49,31283.113065704114
50,28522.737317548497
51,25966.406453650117
52,26253.90307988844
53,31149.582518150968
54,39532.31647577973
55,44977.396658070815
56,65791.99922295297
57,95860.00499702152
58,99888.43106708847
59,99782.51831478324
60,99969.48021526297
61,95982.77646094651
62,93898.68728518809
63,93780.16870273673
64,84058.67022418216
65,77479.26602432465
66,62124.482476759564
67,42290.04035848769
68,17437.551104551305
69,2121.6840194542883
70,5627.692195898302
71,6249.800026443795
72,5649.607265110202
73,7191.344183506729
74,6518.66668625462
75,5668.3311416324495
76,4078.158042736588
77,5225.499022512507
78,4069.0512173722495
79,10508.306117657126
80,22802.716814015166
81,11463.175471124949
82,12601.224468622013
83,19683.916718276163
84,37662.210738100475
85,31697.084299347258
86,48903.87108660005
87,26752.153541176645
88,8944.890555866461
89,10660.119432370115
90,7953.843013143413
91,313.1404355477217
92,5996.467065601576
93,12395.0248652193
94,7598.74310793183
95,21787.049019154045
96,53353.1087964617
97,21364.155914257983
98,69287.22982724624
99,20871.92821689629
100,13178.813261052086
101,10048.913078389241
102,12068.80630413109
103,9093.474281605893
104,2244.3183733494197
105,6341.03110055008
106,2282.3207797152045
107,3741.1427641681566
108,7923.717593451744
109,5990.718135145835
110,4513.388297246715
111,4345.993177498169
112,2606.7974262853804
113,4246.6768203069805
114,4190.591446041201
115,5789.957013203549
116,9355.1756701888
117,15068.789215513789
118,10868.866613044049
119,1675.300978460219
120,3243.656033611857
121,6214.298506421636
122,4299.926502989002
123,4211.879855081699
124,5604.558234047873
125,5561.473679322167
126,7401.940645581877
127,11448.58470005719
128,13428.662960232874
129,22199.363962165844
130,48557.31581633794
131,19930.33488000254
132,466.6915321667897
133,26888.93786269971
134,90897.17504465404
135,96735.24317287083
136,97397.31895441725
137,98089.55163186524
138,98261.49790739434
139,87994.47361246998
140,99710.39269609086
141,96518.13129379103
142,98839.484564692
143,99576.25753552534
144,93352.49645140546
145,86812.7292282355
146,99770.96907437572
147,96684.51114577317
148,99988.35283333177
149,82849.01834936936
150,41184.13104372355
151,16593.53004234799
152,4583.600318187744
153,8004.504765302021
154,6486.249807517487
155,10684.617585456002
156,22654.512254232217
157,58123.44350755507
158,98470.40714266057
159,96507.92821642637
160,99864.41171911826
161,92518.43716600073
162,95463.89101149395
163,99080.37501871059
164,98787.92201668798
165,99280.62496726825
166,96711.76010661268
167,87329.4870511146
168,87444.51194830224
169,66350.8314859517
170,18055.712917421453
171,13441.09935895012
172,19997.04732944271
173,22091.760035662486
174,36305.75289526285
175,65915.81235581546
176,99483.42128379739
177,94905.27449982635
178,98124.6305419102
179,99150.24982325954
180,99240.4797944105
181,96729.07219889907
182,79895.74296286181
183,42269.73826390365
184,19195.82810109788
185,2923.268551836653
186,17928.549949750155
187,60317.19165019978
188,97220.18426397396
189,96495.16481274
190,99430.66065170047
191,99897.57466499173
192,99076.73811181606
193,92699.39297832652
194,81831.76951607865
195,88048.1638108887
196,99850.17256413602
