,cash_balance,btc_balance,gold_balance,price_btc,price_gold,value,sell_btc,sell_gold,sell_btc_ratio,sell_gold_ratio,buy_no_ratio,buy_btc_ratio,buy_gold_ratio,buy_btc,buy_gold,cash_remain
0,1000.0,0.0,0.0,621.6500244140625,1324.5999755859375,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
1,1000.0,0.0,0.0,609.6699829101562,1324.5999755859375,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
2,1000.0,0.0,0.0,610.9199829101562,1323.6500244140625,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
3,1000.0,0.0,0.0,608.8200073242188,1321.75,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
4,1000.0,0.0,0.0,610.3800048828125,1310.800048828125,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
5,1000.0,0.0,0.0,609.1099853515625,1308.3499755859375,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
6,1000.0,0.0,0.0,607.0399780273438,1308.3499755859375,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
7,1000.0,0.0,0.0,611.5800170898438,1308.3499755859375,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
8,1000.0,0.0,0.0,610.1900024414062,1314.8499755859375,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
9,1000.0,0.0,0.0,608.6599731445312,1313.800048828125,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
10,1000.0,0.0,0.0,598.8800048828125,1326.0999755859375,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
11,1000.0,0.0,0.0,597.4199829101562,1339.0999755859375,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
12,1000.0,0.0,0.0,594.0800170898438,1338.6500244140625,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
13,1000.0,0.0,0.0,603.8800048828125,1338.6500244140625,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
14,1000.0,0.0,0.0,601.739990234375,1338.6500244140625,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
15,1000.0,0.0,0.0,598.97998046875,1340.5,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
16,1000.0,0.0,0.0,605.9600219726562,1327.0,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
17,1000.0,0.0,0.0,605.6699829101562,1322.5,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
18,1000.0,0.0,0.0,603.8499755859375,1318.0999755859375,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
19,1000.0,0.0,0.0,609.3900146484375,1322.5,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
20,1000.0,0.0,0.0,614.8200073242188,1322.5,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
21,1000.0,0.0,0.0,612.97998046875,1322.5,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
22,1000.0,0.0,0.0,611.8499755859375,1313.300048828125,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
23,1000.0,0.0,0.0,609.6199951171875,1283.300048828125,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
24,1000.0,0.0,0.0,607.1799926757812,1269.4000244140625,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
25,1000.0,0.0,0.0,612.0800170898438,1254.5,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
26,1000.0,0.0,0.0,617.2100219726562,1258.75,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
27,1000.0,0.0,0.0,614.739990234375,1258.75,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
28,1000.0,0.0,0.0,615.6500244140625,1258.75,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
29,1000.0,0.0,0.0,617.5399780273438,1259.5,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
30,1000.0,0.0,0.0,614.77001953125,1253.449951171875,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0
